row,col,nReadouts,nHits,disable
8,14,499,846,2
14,11,490,849,2
18,31,401,603,2
25,15,396,573,2
33,20,314,326,2
14,27,297,359,2
26,32,278,335,2
26,29,252,294,2
24,28,228,263,2
18,13,210,238,2
18,18,206,218,2
34,10,206,213,2
22,22,169,175,2
30,29,145,9538,2
16,22,129,126,2
4,16,126,94,2
27,17,118,127,2
11,14,82,85,2
16,34,75,78,2
3,12,66,67,2
33,26,63,65,2
0,28,63,65,2
3,4,61,62,2
30,16,60,60,2
8,6,60,57,2
22,27,58,59,2
27,16,51,54,2
21,22,51,50,2
17,31,49,46,2
3,26,47,46,2
7,25,47,46,2
29,28,44,41,2
15,28,42,39,2
26,5,32,31,2
18,14,31,29,2
17,18,30,30,2
4,26,28,27,2
34,28,25,25,2
32,19,25,25,2
21,33,25,24,2
16,8,24,22,2
8,32,21,21,2
34,12,19,19,2
21,19,17,17,2
8,17,17,16,2
15,17,14,13,2
18,17,13,12,2
11,5,12,12,2
13,23,12,11,2
7,24,11,11,2
15,22,11,10,2
13,20,11,10,2
7,5,10,11,2
6,4,10,11,2
17,5,10,10,2
22,31,10,10,2
16,6,10,10,2
0,18,10,10,2
34,18,8,8,0
22,6,7,7,0
8,19,7,7,0
15,6,7,7,0
15,5,6,6,0
19,15,6,6,0
16,30,6,6,0
20,15,6,7,0
11,16,6,4,0
22,19,5,5,0
8,29,5,5,0
5,14,5,5,0
21,16,5,5,0
24,23,5,5,0
29,18,4,4,0
19,4,4,4,0
14,8,4,4,0
7,16,4,4,0
32,18,4,4,0
31,6,4,4,0
30,25,3,3,0
10,21,3,3,0
22,4,3,3,0
22,3,3,3,0
4,32,3,3,0
30,17,3,3,0
26,20,3,3,0
5,10,3,3,0
15,12,3,3,0
23,17,3,3,0
16,23,3,3,0
26,25,3,3,0
15,16,3,3,0
25,6,2,2,0
31,9,2,2,0
25,16,2,2,0
28,4,2,2,0
27,33,2,2,0
24,18,2,2,0
22,24,2,2,0
23,12,2,2,0
22,25,2,2,0
32,22,2,2,0
25,29,2,2,0
0,12,2,2,0
5,24,2,2,0
18,8,2,2,0
21,17,2,2,0
14,3,2,2,0
11,8,2,2,0
16,10,2,1,0
8,27,2,2,0
17,8,2,2,0
18,5,2,2,0
12,20,2,2,0
2,23,2,2,0
1,6,2,2,0
4,21,1,1,0
29,27,1,1,0
12,15,1,1,0
30,9,1,1,0
30,12,1,1,0
34,27,1,1,0
11,26,1,1,0
34,22,1,1,0
9,31,1,1,0
30,26,1,1,0
1,27,1,1,0
3,9,1,1,0
31,4,1,1,0
7,32,1,1,0
6,3,1,1,0
32,7,1,0,0
28,33,1,1,0
3,8,1,1,0
5,16,1,1,0
5,6,1,1,0
33,7,1,1,0
33,10,1,1,0
33,14,1,1,0
21,32,1,1,0
27,20,1,0,0
12,22,1,1,0
17,17,1,1,0
21,13,1,0,0
20,19,1,1,0
22,13,1,1,0
20,3,1,1,0
19,21,1,1,0
19,6,1,1,0
18,22,1,1,0
17,34,1,1,0
17,25,1,1,0
23,30,1,1,0
23,31,1,1,0
17,20,1,0,0
24,32,1,1,0
12,26,1,1,0
16,32,1,1,0
25,7,1,1,0
16,24,1,1,0
16,11,1,1,0
25,24,1,1,0
15,20,1,1,0
15,19,1,1,0
15,3,1,1,0
14,24,1,0,0
27,8,1,1,0
13,24,1,1,0
13,5,1,1,0
34,31,1,1,0
